Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_201,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.06,925_201,RAD-Seq,GENOMIC,SRX7816893,https://www.ncbi.nlm.nih.gov/sra/SRX7816893[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_193,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.99,800_193,RAD-Seq,GENOMIC,SRX7816892,https://www.ncbi.nlm.nih.gov/sra/SRX7816892[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_200,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.43,800_200,RAD-Seq,GENOMIC,SRX7816878,https://www.ncbi.nlm.nih.gov/sra/SRX7816878[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_199,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.29,800_199,RAD-Seq,GENOMIC,SRX7816867,https://www.ncbi.nlm.nih.gov/sra/SRX7816867[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_198,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.68,800_198,RAD-Seq,GENOMIC,SRX7816856,https://www.ncbi.nlm.nih.gov/sra/SRX7816856[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_216,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.57,CC1_216,RAD-Seq,GENOMIC,SRX7816846,https://www.ncbi.nlm.nih.gov/sra/SRX7816846[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_197,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.63,800_197,RAD-Seq,GENOMIC,SRX7816845,https://www.ncbi.nlm.nih.gov/sra/SRX7816845[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_215,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,20.89,CC1_215,RAD-Seq,GENOMIC,SRX7816844,https://www.ncbi.nlm.nih.gov/sra/SRX7816844[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_214,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.34,CC1_214,RAD-Seq,GENOMIC,SRX7816843,https://www.ncbi.nlm.nih.gov/sra/SRX7816843[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_213,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.59,CC1_213,RAD-Seq,GENOMIC,SRX7816842,https://www.ncbi.nlm.nih.gov/sra/SRX7816842[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_212,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.58,CC1_212,RAD-Seq,GENOMIC,SRX7816841,https://www.ncbi.nlm.nih.gov/sra/SRX7816841[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_211,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.04,CC1_211,RAD-Seq,GENOMIC,SRX7816840,https://www.ncbi.nlm.nih.gov/sra/SRX7816840[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_210,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.29,CC1_210,RAD-Seq,GENOMIC,SRX7816839,https://www.ncbi.nlm.nih.gov/sra/SRX7816839[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_209,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.73,CC1_209,RAD-Seq,GENOMIC,SRX7816838,https://www.ncbi.nlm.nih.gov/sra/SRX7816838[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_208,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.84,CC1_208,RAD-Seq,GENOMIC,SRX7816837,https://www.ncbi.nlm.nih.gov/sra/SRX7816837[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: CC1_207,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.46,CC1_207,RAD-Seq,GENOMIC,SRX7816836,https://www.ncbi.nlm.nih.gov/sra/SRX7816836[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_192,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.4,800_192,RAD-Seq,GENOMIC,SRX7816796,https://www.ncbi.nlm.nih.gov/sra/SRX7816796[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_191,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.72,800_191,RAD-Seq,GENOMIC,SRX7816795,https://www.ncbi.nlm.nih.gov/sra/SRX7816795[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: YY2150_237,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.63,YY2150_237,RAD-Seq,GENOMIC,SRX7816993,https://www.ncbi.nlm.nih.gov/sra/SRX7816993[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: YY2150_236,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.81,YY2150_236,RAD-Seq,GENOMIC,SRX7816992,https://www.ncbi.nlm.nih.gov/sra/SRX7816992[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: YY2150_234,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,13.7,YY2150_234,RAD-Seq,GENOMIC,SRX7816991,https://www.ncbi.nlm.nih.gov/sra/SRX7816991[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_0116,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.88,1950_0116,RAD-Seq,GENOMIC,SRX7816990,https://www.ncbi.nlm.nih.gov/sra/SRX7816990[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_0115,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.09,1950_0115,RAD-Seq,GENOMIC,SRX7816989,https://www.ncbi.nlm.nih.gov/sra/SRX7816989[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_068,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.44,1950_068,RAD-Seq,GENOMIC,SRX7816988,https://www.ncbi.nlm.nih.gov/sra/SRX7816988[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_067,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.31,1950_067,RAD-Seq,GENOMIC,SRX7816987,https://www.ncbi.nlm.nih.gov/sra/SRX7816987[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_066,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.51,1950_066,RAD-Seq,GENOMIC,SRX7816985,https://www.ncbi.nlm.nih.gov/sra/SRX7816985[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_020,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.51,1950_020,RAD-Seq,GENOMIC,SRX7816984,https://www.ncbi.nlm.nih.gov/sra/SRX7816984[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_019,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.83,1950_019,RAD-Seq,GENOMIC,SRX7816983,https://www.ncbi.nlm.nih.gov/sra/SRX7816983[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_018,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.72,1950_018,RAD-Seq,GENOMIC,SRX7816982,https://www.ncbi.nlm.nih.gov/sra/SRX7816982[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_017,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.49,1950_017,RAD-Seq,GENOMIC,SRX7816981,https://www.ncbi.nlm.nih.gov/sra/SRX7816981[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1950_016,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.53,1950_016,RAD-Seq,GENOMIC,SRX7816980,https://www.ncbi.nlm.nih.gov/sra/SRX7816980[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_080,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.75,1825_080,RAD-Seq,GENOMIC,SRX7816961,https://www.ncbi.nlm.nih.gov/sra/SRX7816961[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_079,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.16,1825_079,RAD-Seq,GENOMIC,SRX7816960,https://www.ncbi.nlm.nih.gov/sra/SRX7816960[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_035,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.65,1825_035,RAD-Seq,GENOMIC,SRX7816959,https://www.ncbi.nlm.nih.gov/sra/SRX7816959[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_034,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,36.17,1825_034,RAD-Seq,GENOMIC,SRX7816958,https://www.ncbi.nlm.nih.gov/sra/SRX7816958[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_033,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.51,1825_033,RAD-Seq,GENOMIC,SRX7816957,https://www.ncbi.nlm.nih.gov/sra/SRX7816957[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_032,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.33,1825_032,RAD-Seq,GENOMIC,SRX7816956,https://www.ncbi.nlm.nih.gov/sra/SRX7816956[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_031,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.27,1825_031,RAD-Seq,GENOMIC,SRX7816955,https://www.ncbi.nlm.nih.gov/sra/SRX7816955[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_015,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.7,1825_015,RAD-Seq,GENOMIC,SRX7816954,https://www.ncbi.nlm.nih.gov/sra/SRX7816954[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_014,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,34.39,1825_014,RAD-Seq,GENOMIC,SRX7816952,https://www.ncbi.nlm.nih.gov/sra/SRX7816952[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_013,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.09,1825_013,RAD-Seq,GENOMIC,SRX7816951,https://www.ncbi.nlm.nih.gov/sra/SRX7816951[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_012,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.23,1825_012,RAD-Seq,GENOMIC,SRX7816950,https://www.ncbi.nlm.nih.gov/sra/SRX7816950[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1825_011,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.05,1825_011,RAD-Seq,GENOMIC,SRX7816949,https://www.ncbi.nlm.nih.gov/sra/SRX7816949[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_078,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.89,1700_078,RAD-Seq,GENOMIC,SRX7816935,https://www.ncbi.nlm.nih.gov/sra/SRX7816935[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_077,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.77,1700_077,RAD-Seq,GENOMIC,SRX7816934,https://www.ncbi.nlm.nih.gov/sra/SRX7816934[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_076,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,20.72,1700_076,RAD-Seq,GENOMIC,SRX7816933,https://www.ncbi.nlm.nih.gov/sra/SRX7816933[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_075,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.21,1700_075,RAD-Seq,GENOMIC,SRX7816932,https://www.ncbi.nlm.nih.gov/sra/SRX7816932[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_074,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.58,1700_074,RAD-Seq,GENOMIC,SRX7816930,https://www.ncbi.nlm.nih.gov/sra/SRX7816930[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_030,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,20.58,1700_030,RAD-Seq,GENOMIC,SRX7816929,https://www.ncbi.nlm.nih.gov/sra/SRX7816929[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_029,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.98,1700_029,RAD-Seq,GENOMIC,SRX7816928,https://www.ncbi.nlm.nih.gov/sra/SRX7816928[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_028,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.25,1700_028,RAD-Seq,GENOMIC,SRX7816927,https://www.ncbi.nlm.nih.gov/sra/SRX7816927[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_027,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.14,1700_027,RAD-Seq,GENOMIC,SRX7816926,https://www.ncbi.nlm.nih.gov/sra/SRX7816926[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_026,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.33,1700_026,RAD-Seq,GENOMIC,SRX7816925,https://www.ncbi.nlm.nih.gov/sra/SRX7816925[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_065,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.04,1700_065,RAD-Seq,GENOMIC,SRX7816924,https://www.ncbi.nlm.nih.gov/sra/SRX7816924[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_064,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.83,1700_064,RAD-Seq,GENOMIC,SRX7816923,https://www.ncbi.nlm.nih.gov/sra/SRX7816923[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: MA2150_231,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,18.68,MA2150_231,RAD-Seq,GENOMIC,SRX7816919,https://www.ncbi.nlm.nih.gov/sra/SRX7816919[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: MA2150_228,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,34.72,MA2150_228,RAD-Seq,GENOMIC,SRX7816918,https://www.ncbi.nlm.nih.gov/sra/SRX7816918[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: MA2150_225,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.8,MA2150_225,RAD-Seq,GENOMIC,SRX7816917,https://www.ncbi.nlm.nih.gov/sra/SRX7816917[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: MA2150_229,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.43,MA2150_229,RAD-Seq,GENOMIC,SRX7816916,https://www.ncbi.nlm.nih.gov/sra/SRX7816916[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_179,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.84,HU4_179,RAD-Seq,GENOMIC,SRX7816908,https://www.ncbi.nlm.nih.gov/sra/SRX7816908[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_178,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.11,HU4_178,RAD-Seq,GENOMIC,SRX7816907,https://www.ncbi.nlm.nih.gov/sra/SRX7816907[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_177,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.41,HU4_177,RAD-Seq,GENOMIC,SRX7816906,https://www.ncbi.nlm.nih.gov/sra/SRX7816906[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_176,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.66,HU4_176,RAD-Seq,GENOMIC,SRX7816905,https://www.ncbi.nlm.nih.gov/sra/SRX7816905[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_175,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.84,HU4_175,RAD-Seq,GENOMIC,SRX7816903,https://www.ncbi.nlm.nih.gov/sra/SRX7816903[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_174,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.6,HU4_174,RAD-Seq,GENOMIC,SRX7816902,https://www.ncbi.nlm.nih.gov/sra/SRX7816902[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_173,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.62,HU4_173,RAD-Seq,GENOMIC,SRX7816901,https://www.ncbi.nlm.nih.gov/sra/SRX7816901[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: HU4_172,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,15.74,HU4_172,RAD-Seq,GENOMIC,SRX7816900,https://www.ncbi.nlm.nih.gov/sra/SRX7816900[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_061,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,0.08,1700_061,RAD-Seq,GENOMIC,SRX7816888,https://www.ncbi.nlm.nih.gov/sra/SRX7816888[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_010,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.64,1700_010,RAD-Seq,GENOMIC,SRX7816887,https://www.ncbi.nlm.nih.gov/sra/SRX7816887[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_009,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.93,1700_009,RAD-Seq,GENOMIC,SRX7816886,https://www.ncbi.nlm.nih.gov/sra/SRX7816886[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_008,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,18.78,1700_008,RAD-Seq,GENOMIC,SRX7816885,https://www.ncbi.nlm.nih.gov/sra/SRX7816885[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_007,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.27,1700_007,RAD-Seq,GENOMIC,SRX7816884,https://www.ncbi.nlm.nih.gov/sra/SRX7816884[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1700_006,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,16.92,1700_006,RAD-Seq,GENOMIC,SRX7816883,https://www.ncbi.nlm.nih.gov/sra/SRX7816883[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1575_073,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.07,1575_073,RAD-Seq,GENOMIC,SRX7816872,https://www.ncbi.nlm.nih.gov/sra/SRX7816872[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1575_072,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.25,1575_072,RAD-Seq,GENOMIC,SRX7816871,https://www.ncbi.nlm.nih.gov/sra/SRX7816871[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1575_071,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.65,1575_071,RAD-Seq,GENOMIC,SRX7816870,https://www.ncbi.nlm.nih.gov/sra/SRX7816870[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1575_070,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.37,1575_070,RAD-Seq,GENOMIC,SRX7816869,https://www.ncbi.nlm.nih.gov/sra/SRX7816869[accn]
Dichotomius satanas,ddRADseq of Dichotomius satanas: 1575_069,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.4,1575_069,RAD-Seq,GENOMIC,SRX7816868,https://www.ncbi.nlm.nih.gov/sra/SRX7816868[accn]
