Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1700_134,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.54,1700_134,RAD-Seq,GENOMIC,SRX7816882,https://www.ncbi.nlm.nih.gov/sra/SRX7816882[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1700_092,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.92,1700_092,RAD-Seq,GENOMIC,SRX7816881,https://www.ncbi.nlm.nih.gov/sra/SRX7816881[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1700_091,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,16.93,1700_091,RAD-Seq,GENOMIC,SRX7816880,https://www.ncbi.nlm.nih.gov/sra/SRX7816880[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1700_090,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.93,1700_090,RAD-Seq,GENOMIC,SRX7816879,https://www.ncbi.nlm.nih.gov/sra/SRX7816879[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1575_089,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,0.1,1575_089,RAD-Seq,GENOMIC,SRX7816850,https://www.ncbi.nlm.nih.gov/sra/SRX7816850[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1575_088,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,19.28,1575_088,RAD-Seq,GENOMIC,SRX7816849,https://www.ncbi.nlm.nih.gov/sra/SRX7816849[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1575_087,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.86,1575_087,RAD-Seq,GENOMIC,SRX7816848,https://www.ncbi.nlm.nih.gov/sra/SRX7816848[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_196,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.18,800_196,RAD-Seq,GENOMIC,SRX7817023,https://www.ncbi.nlm.nih.gov/sra/SRX7817023[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_195,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.34,800_195,RAD-Seq,GENOMIC,SRX7817012,https://www.ncbi.nlm.nih.gov/sra/SRX7817012[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 800_194,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.12,800_194,RAD-Seq,GENOMIC,SRX7817001,https://www.ncbi.nlm.nih.gov/sra/SRX7817001[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_206,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.48,925_206,RAD-Seq,GENOMIC,SRX7816996,https://www.ncbi.nlm.nih.gov/sra/SRX7816996[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_205,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.43,925_205,RAD-Seq,GENOMIC,SRX7816995,https://www.ncbi.nlm.nih.gov/sra/SRX7816995[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_204,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.24,925_204,RAD-Seq,GENOMIC,SRX7816994,https://www.ncbi.nlm.nih.gov/sra/SRX7816994[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_203,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.7,925_203,RAD-Seq,GENOMIC,SRX7816915,https://www.ncbi.nlm.nih.gov/sra/SRX7816915[accn]
Dichotomius podalirius,ddRADseq of Dichotomius podalirius: 925_202,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.73,925_202,RAD-Seq,GENOMIC,SRX7816904,https://www.ncbi.nlm.nih.gov/sra/SRX7816904[accn]
